"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"France","2019","Total","Male","47","Data tabulated by year of occurrence","Final figure, complete","2021","1207",""
"France","2019","Total","Male","48","Data tabulated by year of occurrence","Final figure, complete","2021","1333",""
"France","2019","Total","Male","49","Data tabulated by year of occurrence","Final figure, complete","2021","1398",""
"France","2019","Total","Male","50","Data tabulated by year of occurrence","Final figure, complete","2021","1557",""
"France","2019","Total","Male","50 - 54","Data tabulated by year of occurrence","Final figure, complete","2021","9309",""
"France","2019","Total","Male","51","Data tabulated by year of occurrence","Final figure, complete","2021","1613",""
"France","2019","Total","Male","52","Data tabulated by year of occurrence","Final figure, complete","2021","1884",""
"France","2019","Total","Male","53","Data tabulated by year of occurrence","Final figure, complete","2021","2078",""
"France","2019","Total","Male","54","Data tabulated by year of occurrence","Final figure, complete","2021","2177",""
"France","2019","Total","Male","55","Data tabulated by year of occurrence","Final figure, complete","2021","2442",""
"France","2019","Total","Male","55 - 59","Data tabulated by year of occurrence","Final figure, complete","2021","14079",""
"France","2019","Total","Male","56","Data tabulated by year of occurrence","Final figure, complete","2021","2597",""
"France","2019","Total","Male","57","Data tabulated by year of occurrence","Final figure, complete","2021","2680",""
"France","2019","Total","Male","58","Data tabulated by year of occurrence","Final figure, complete","2021","3011",""
"France","2019","Total","Male","59","Data tabulated by year of occurrence","Final figure, complete","2021","3349",""
"France","2019","Total","Male","60","Data tabulated by year of occurrence","Final figure, complete","2021","3554",""
"France","2019","Total","Male","60 - 64","Data tabulated by year of occurrence","Final figure, complete","2021","20399",""
"France","2019","Total","Male","61","Data tabulated by year of occurrence","Final figure, complete","2021","3826",""
"France","2019","Total","Male","62","Data tabulated by year of occurrence","Final figure, complete","2021","4030",""
"France","2019","Total","Male","63","Data tabulated by year of occurrence","Final figure, complete","2021","4441",""
"France","2019","Total","Male","64","Data tabulated by year of occurrence","Final figure, complete","2021","4548",""
"France","2019","Total","Male","65","Data tabulated by year of occurrence","Final figure, complete","2021","4919",""
"France","2019","Total","Male","65 - 69","Data tabulated by year of occurrence","Final figure, complete","2021","27404",""
"France","2019","Total","Male","66","Data tabulated by year of occurrence","Final figure, complete","2021","5238",""
"France","2019","Total","Male","67","Data tabulated by year of occurrence","Final figure, complete","2021","5382",""
"France","2019","Total","Male","68","Data tabulated by year of occurrence","Final figure, complete","2021","5638",""
"France","2019","Total","Male","69","Data tabulated by year of occurrence","Final figure, complete","2021","6227",""
"France","2019","Total","Male","70","Data tabulated by year of occurrence","Final figure, complete","2021","6560",""
"France","2019","Total","Male","70 - 74","Data tabulated by year of occurrence","Final figure, complete","2021","32279",""
"France","2019","Total","Male","71","Data tabulated by year of occurrence","Final figure, complete","2021","6854",""
"France","2019","Total","Male","72","Data tabulated by year of occurrence","Final figure, complete","2021","6924",""
"France","2019","Total","Male","73","Data tabulated by year of occurrence","Final figure, complete","2021","6198",""
"France","2019","Total","Male","74","Data tabulated by year of occurrence","Final figure, complete","2021","5743",""
"France","2019","Total","Male","75","Data tabulated by year of occurrence","Final figure, complete","2021","5980",""
"France","2019","Total","Male","75 - 79","Data tabulated by year of occurrence","Final figure, complete","2021","31279",""
"France","2019","Total","Male","76","Data tabulated by year of occurrence","Final figure, complete","2021","6171",""
"France","2019","Total","Male","77","Data tabulated by year of occurrence","Final figure, complete","2021","6075",""
"France","2019","Total","Male","78","Data tabulated by year of occurrence","Final figure, complete","2021","5922",""
"France","2019","Total","Male","79","Data tabulated by year of occurrence","Final figure, complete","2021","7131",""
"France","2019","Total","Male","80","Data tabulated by year of occurrence","Final figure, complete","2021","7599",""
"France","2019","Total","Male","80 - 84","Data tabulated by year of occurrence","Final figure, complete","2021","42424",""
